State,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
CA,2020,75929027.96,,174.685,34992566.35,2397.408,587089689
CA,2021,81708247.53,,186.117,37140683.04,3277.822,623215795
CA,2022,82710282.5,,198.73,37211666.03,2646.868,624770953.8
CA,2023,79492840.05,,184.34,36665001.87,2496.641,615750582.7
CA,2024,24051418.74,,53.879,10722304.46,713.658,180025458
LA,2020,72110835.22,18066592.24,11700.826,38286765.64,23543.338,605663864
LA,2021,71057268.18,18901597.15,23600.946,40316676.69,22494.234,602394173
LA,2022,77490852.96,18547389.82,21292.27,43807780.05,23386.672,665043362.9
LA,2023,73414546.26,9584289.54,11601.396,38922757.6,18339.198,608570437.3
LA,2024,26373621.67,2044090,4608.157,14344387.22,8540.954,223966120.6
MI,2020,62842441.22,16093681.53,34466.682,44466073.64,24945.767,622702294.9
MI,2021,67244524.87,25029305.69,53888.643,53520597.6,31122.968,679257474.2
MI,2022,75016842.96,19620618.29,43395.413,54319267.89,27657.236,719853197.3
MI,2023,75870989.25,10957134.16,25728.721,47784469.59,22165.547,692450942
MI,2024,20593423.41,2693171.31,3320.021,11370126.27,4723.431,179388771.5
